RANGO DE EDAD,FECHA,NUMERO DE ABORTOS
10 a 20 años,2009,3628
10 a 20 años,2010,3370
10 a 20 años,2011,2796
10 a 20 años,2012,3213
10 a 20 años,2013,3438
10 a 20 años,2014,4336
10 a 20 años,2015,2975
10 a 20 años,2016,2097
10 a 20 años,2017,1472
21 a 30 años,2009,8713
21 a 30 años,2010,7397
21 a 30 años,2011,6578
21 a 30 años,2012,7191
21 a 30 años,2013,7529
21 a 30 años,2014,9537
21 a 30 años,2015,7014
21 a 30 años,2016,4906
21 a 30 años,2017,3819
31 a 40 años,2009,4737
31 a 40 años,2010,3838
31 a 40 años,2011,3592
31 a 40 años,2012,3893
31 a 40 años,2013,4335
31 a 40 años,2014,5493
31 a 40 años,2015,4104
31 a 40 años,2016,2705
31 a 40 años,2017,2178
41 a 50 años,2009,960
41 a 50 años,2010,712
41 a 50 años,2011,644
41 a 50 años,2012,691
41 a 50 años,2013,756
41 a 50 años,2014,827
41 a 50 años,2015,635
41 a 50 años,2016,397
41 a 50 años,2017,324
mas de 50 años,2009,50
mas de 50 años,2010,0
mas de 50 años,2011,0
mas de 50 años,2012,0
mas de 50 años,2013,0
mas de 50 años,2014,0
mas de 50 años,2015,0
mas de 50 años,2016,0
mas de 50 años,2017,0
