college,amount,year
Amazonas,1,2009
Amazonas,1,2010
Amazonas,2,2011
Amazonas,3,2012
Amazonas,5,2013
Amazonas,8,2014
Amazonas,7,2015
Amazonas,2,2016
Amazonas,14,2017
Antioquia,896,2009
Antioquia,487,2010
Antioquia,486,2011
Antioquia,482,2012
Antioquia,515,2013
Antioquia,787,2014
Antioquia,786,2015
Antioquia,710,2016
Antioquia,1103,2017
Arauca,7,2009
Arauca,17,2010
Arauca,18,2011
Arauca,12,2012
Arauca,12,2013
Arauca,59,2014
Arauca,17,2015
Arauca,9,2016
Arauca,21,2017
Archipielago de San Andrés,5,2009
Archipielago de San Andrés,5,2010
Archipielago de San Andrés,6,2011
Archipielago de San Andrés,15,2012
Archipielago de San Andrés,16,2013
Archipielago de San Andrés,10,2014
Archipielago de San Andrés,1,2015
Archipielago de San Andrés,2,2016
Archipielago de San Andrés,6,2017
Atlántico,317,2009
Atlántico,251,2010
Atlántico,241,2011
Atlántico,226,2012
Atlántico,313,2013
Atlántico,479,2014
Atlántico,361,2015
Atlántico,211,2016
Atlántico,347,2017
Bogotá D.C,1462,2009
Bogotá D.C,1295,2010
Bogotá D.C,1484,2011
Bogotá D.C,1604,2012
Bogotá D.C,1551,2013
Bogotá D.C,1917,2014
Bogotá D.C,2886,2015
Bogotá D.C,3413,2016
Bogotá D.C,2859,2017
Bolivar,269,2009
Bolivar,181,2010
Bolivar,299,2011
Bolivar,241,2012
Bolivar,232,2013
Bolivar,229,2014
Bolivar,191,2015
Bolivar,146,2016
Bolivar,194,2017
Boyacá,153,2009
Boyacá,128,2010
Boyacá,148,2011
Boyacá,172,2012
Boyacá,171,2013
Boyacá,333,2014
Boyacá,173,2015
Boyacá,99,2016
Boyacá,132,2017
Caldas,101,2009
Caldas,70,2010
Caldas,63,2011
Caldas,66,2012
Caldas,85,2013
Caldas,88,2014
Caldas,69,2015
Caldas,107,2016
Caldas,120,2017
Caquetá,34,2009
Caquetá,32,2010
Caquetá,27,2011
Caquetá,27,2012
Caquetá,34,2013
Caquetá,43,2014
Caquetá,29,2015
Caquetá,32,2016
Caquetá,25,2017
Casanare,10,2009
Casanare,9,2010
Casanare,23,2011
Casanare,14,2012
Casanare,17,2013
Casanare,35,2014
Casanare,29,2015
Casanare,21,2016
Casanare,28,2017
Cauca,47,2009
Cauca,92,2010
Cauca,219,2011
Cauca,228,2012
Cauca,239,2013
Cauca,270,2014
Cauca,328,2015
Cauca,211,2016
Cauca,360,2017
Cesar,187,2009
Cesar,106,2010
Cesar,158,2011
Cesar,125,2012
Cesar,144,2013
Cesar,113,2014
Cesar,131,2015
Cesar,149,2016
