rango,year,amount,college
10 a 20 años,2009,198,COMPLETO
10 a 20 años,2010,191,COMPLETO
10 a 20 años,2011,230,COMPLETO
10 a 20 años,2012,247,COMPLETO
10 a 20 años,2013,268,COMPLETO
10 a 20 años,2014,467,COMPLETO
10 a 20 años,2015,795,COMPLETO
10 a 20 años,2016,1563,COMPLETO
10 a 20 años,2017,1013,COMPLETO
10 a 20 años,2009,426,INCOMPLETO
10 a 20 años,2010,339,INCOMPLETO
10 a 20 años,2011,445,INCOMPLETO
10 a 20 años,2012,436,INCOMPLETO
10 a 20 años,2013,487,INCOMPLETO
10 a 20 años,2014,681,INCOMPLETO
10 a 20 años,2015,532,INCOMPLETO
10 a 20 años,2016,419,INCOMPLETO
10 a 20 años,2017,516,INCOMPLETO
10 a 20 años,2009,199,EXTRACCION MENSUAL
10 a 20 años,2010,102,EXTRACCION MENSUAL
10 a 20 años,2011,78,EXTRACCION MENSUAL
10 a 20 años,2012,167,EXTRACCION MENSUAL
10 a 20 años,2013,172,EXTRACCION MENSUAL
10 a 20 años,2014,177,EXTRACCION MENSUAL
10 a 20 años,2015,201,EXTRACCION MENSUAL
10 a 20 años,2016,71,EXTRACCION MENSUAL
10 a 20 años,2017,149,EXTRACCION MENSUAL
10 a 20 años,2009,25,FALLA INDUCCION MEDICA
10 a 20 años,2010,26,FALLA INDUCCION MEDICA
10 a 20 años,2011,20,FALLA INDUCCION MEDICA
10 a 20 años,2012,27,FALLA INDUCCION MEDICA
10 a 20 años,2013,25,FALLA INDUCCION MEDICA
10 a 20 años,2014,37,FALLA INDUCCION MEDICA
10 a 20 años,2015,33,FALLA INDUCCION MEDICA
10 a 20 años,2016,22,FALLA INDUCCION MEDICA
10 a 20 años,2017,15,FALLA INDUCCION MEDICA
10 a 20 años,2009,202,EMBARAZO NO DESEADO
10 a 20 años,2010,134,EMBARAZO NO DESEADO
10 a 20 años,2011,219,EMBARAZO NO DESEADO
10 a 20 años,2012,534,EMBARAZO NO DESEADO
10 a 20 años,2013,751,EMBARAZO NO DESEADO
10 a 20 años,2014,667,EMBARAZO NO DESEADO
10 a 20 años,2015,607,EMBARAZO NO DESEADO
10 a 20 años,2016,318,EMBARAZO NO DESEADO
10 a 20 años,2017,519,EMBARAZO NO DESEADO
21 a 30 años,2009,678,COMPLETO
21 a 30 años,2010,572,COMPLETO
21 a 30 años,2011,737,COMPLETO
21 a 30 años,2012,690,COMPLETO
21 a 30 años,2013,735,COMPLETO
21 a 30 años,2014,1183,COMPLETO
21 a 30 años,2015,2050,COMPLETO
21 a 30 años,2016,3191,COMPLETO
21 a 30 años,2017,2325,COMPLETO
21 a 30 años,2009,1070,INCOMPLETO
21 a 30 años,2010,870,INCOMPLETO
21 a 30 años,2011,1098,INCOMPLETO
21 a 30 años,2012,1088,INCOMPLETO
21 a 30 años,2013,1162,INCOMPLETO
21 a 30 años,2014,1574,INCOMPLETO
21 a 30 años,2015,1349,INCOMPLETO
21 a 30 años,2016,966,INCOMPLETO
21 a 30 años,2017,1142,INCOMPLETO
21 a 30 años,2009,1108,EXTRACCION MENSUAL
21 a 30 años,2010,529,EXTRACCION MENSUAL
21 a 30 años,2011,452,EXTRACCION MENSUAL
21 a 30 años,2012,487,EXTRACCION MENSUAL
21 a 30 años,2013,540,EXTRACCION MENSUAL
21 a 30 años,2014,599,EXTRACCION MENSUAL
21 a 30 años,2015,600,EXTRACCION MENSUAL
21 a 30 años,2016,236,EXTRACCION MENSUAL
21 a 30 años,2017,434,EXTRACCION MENSUAL
21 a 30 años,2009,20,FALLA INDUCCION MEDICA
21 a 30 años,2010,26,FALLA INDUCCION MEDICA
21 a 30 años,2011,27,FALLA INDUCCION MEDICA
21 a 30 años,2012,25,FALLA INDUCCION MEDICA
21 a 30 años,2013,29,FALLA INDUCCION MEDICA
21 a 30 años,2014,32,FALLA INDUCCION MEDICA
21 a 30 años,2015,37,FALLA INDUCCION MEDICA
21 a 30 años,2016,42,FALLA INDUCCION MEDICA
21 a 30 años,2017,30,FALLA INDUCCION MEDICA
21 a 30 años,2009,221,EMBARAZO NO DESEADO
21 a 30 años,2010,124,EMBARAZO NO DESEADO
21 a 30 años,2011,209,EMBARAZO NO DESEADO
21 a 30 años,2012,388,EMBARAZO NO DESEADO
21 a 30 años,2013,570,EMBARAZO NO DESEADO
21 a 30 años,2014,643,EMBARAZO NO DESEADO
21 a 30 años,2015,608,EMBARAZO NO DESEADO
21 a 30 años,2016,431,EMBARAZO NO DESEADO
21 a 30 años,2017,818,EMBARAZO NO DESEADO
31 a 40 años,2009,377,COMPLETO
31 a 40 años,2010,380,COMPLETO
31 a 40 años,2011,489,COMPLETO
31 a 40 años,2012,427,COMPLETO
31 a 40 años,2013,471,COMPLETO
31 a 40 años,2014,797,COMPLETO
31 a 40 años,2015,1076,COMPLETO
31 a 40 años,2016,1467,COMPLETO
31 a 40 años,2017,1159,COMPLETO
31 a 40 años,2009,531,INCOMPLETO
31 a 40 años,2010,552,INCOMPLETO
31 a 40 años,2011,644,INCOMPLETO
31 a 40 años,2012,657,INCOMPLETO
31 a 40 años,2013,736,INCOMPLETO
31 a 40 años,2014,980,INCOMPLETO
31 a 40 años,2015,850,INCOMPLETO
31 a 40 años,2016,549,INCOMPLETO
31 a 40 años,2017,671,INCOMPLETO
31 a 40 años,2009,660,EXTRACCION MENSUAL
31 a 40 años,2010,370,EXTRACCION MENSUAL
31 a 40 años,2011,414,EXTRACCION MENSUAL
31 a 40 años,2012,442,EXTRACCION MENSUAL
31 a 40 años,2013,435,EXTRACCION MENSUAL
31 a 40 años,2014,560,EXTRACCION MENSUAL
31 a 40 años,2015,456,EXTRACCION MENSUAL
31 a 40 años,2016,147,EXTRACCION MENSUAL
31 a 40 años,2017,259,EXTRACCION MENSUAL
31 a 40 años,2009,15,FALLA INDUCCION MEDICA
31 a 40 años,2010,8,FALLA INDUCCION MEDICA
31 a 40 años,2011,15,FALLA INDUCCION MEDICA
31 a 40 años,2012,5,FALLA INDUCCION MEDICA
31 a 40 años,2013,7,FALLA INDUCCION MEDICA
31 a 40 años,2014,5,FALLA INDUCCION MEDICA
31 a 40 años,2015,24,FALLA INDUCCION MEDICA
31 a 40 años,2016,19,FALLA INDUCCION MEDICA
31 a 40 años,2017,16,FALLA INDUCCION MEDICA
31 a 40 años,2009,111,EMBARAZO NO DESEADO
31 a 40 años,2010,58,EMBARAZO NO DESEADO
31 a 40 años,2011,81,EMBARAZO NO DESEADO
31 a 40 años,2012,158,EMBARAZO NO DESEADO
31 a 40 años,2013,226,EMBARAZO NO DESEADO
31 a 40 años,2014,308,EMBARAZO NO DESEADO
31 a 40 años,2015,227,EMBARAZO NO DESEADO
31 a 40 años,2016,176,EMBARAZO NO DESEADO
31 a 40 años,2017,309,EMBARAZO NO DESEADO
41 a 50 años,2009,84,COMPLETO
41 a 50 años,2010,80,COMPLETO
41 a 50 años,2011,97,COMPLETO
41 a 50 años,2012,70,COMPLETO
41 a 50 años,2013,77,COMPLETO
41 a 50 años,2014,132,COMPLETO
41 a 50 años,2015,163,COMPLETO
41 a 50 años,2016,208,COMPLETO
41 a 50 años,2017,188,COMPLETO
